code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1533246,TRUE,PEDRERO Ofelia,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team,28-03-1988
1535775,TRUE,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq,Iraq,Football,Men,01-07-1965
1536055,TRUE,AFLAKIKHAMSEH Majid,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,26-08-1973
1536059,TRUE,YOUSEFY Mehrdad,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,12-06-1972
1536060,TRUE,MADDAH Minoo,Female,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,17-05-1976
1536328,TRUE,LOFTUS Adriana,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team,28-06-1958
1538313,TRUE,FERRARA Fernando,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,,24-07-1968
1538315,TRUE,GULLA Alejandra,Female,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,Women,04-07-1977
1538317,TRUE,CAPURRO Santiago,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,08-04-1975
1538745,TRUE,RONCONI Mariano,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,,
1538748,TRUE,PAULON Ezequiel,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,
1538751,TRUE,VILA Matias,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,
1539598,TRUE,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Artistic Gymnastics,,27-06-1965
1540258,TRUE,DAVIS DIAZ David,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,07-10-1977
1540259,TRUE,MENDOZA MORA Abel,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,26-02-1988
1540260,TRUE,VICTORIA ESPINOSA de los Alfonso,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,01-02-1985
1540522,TRUE,MILANO Guillermo,Male,Head Coach,C,ARG,Argentina,Argentina,Handball,Men,08-02-1973
1540638,TRUE,GOMEZ CORA Santiago,Male,Head Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men,25-07-1978
1540639,TRUE,GRAVANO Leonardo,Male,Assistant Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men,30-08-1973
1540840,TRUE,FILIORIANU Ana Luiza,Female,Coach,C,ROU,Romania,Romania,Rhythmic Gymnastics,,10-07-1999
